ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T18:45:43Z,bench-schema-registry,0.64,486.70,0.00,0.00,68.50,0.00
2026-05-09T18:45:43Z,bench-kafka,15.52,888.60,61.80,65.20,18.00,41.10
2026-05-09T18:45:50Z,bench-driver-B,104.27,24.51,6.14,47.50,0.00,0.00
2026-05-09T18:45:50Z,bench-consumer-B,5.90,83.57,63.60,18.60,42.90,0.00
2026-05-09T18:45:50Z,bench-schema-registry,0.38,487.30,0.00,0.00,68.50,0.00
2026-05-09T18:45:50Z,bench-kafka,15.69,887.70,66.10,69.80,18.00,41.20
2026-05-09T18:45:57Z,bench-driver-B,103.69,24.75,6.55,50.60,0.00,0.00
2026-05-09T18:45:57Z,bench-consumer-B,4.02,84.01,67.80,19.80,42.90,0.00
2026-05-09T18:45:57Z,bench-schema-registry,1.68,488.30,0.00,0.00,68.50,0.00
2026-05-09T18:45:57Z,bench-kafka,56.80,941.10,70.50,74.40,18.00,41.30
2026-05-09T18:46:05Z,bench-driver-B,102.59,24.51,6.95,53.70,0.00,0.00
2026-05-09T18:46:05Z,bench-consumer-B,5.32,84.45,72.00,21.10,42.90,0.00
2026-05-09T18:46:05Z,bench-schema-registry,0.38,488.60,0.00,0.00,68.50,0.00
2026-05-09T18:46:05Z,bench-kafka,14.04,890.50,74.80,79.00,18.00,51.20
2026-05-09T18:46:12Z,bench-driver-B,103.61,24.50,7.36,56.80,0.00,0.00
2026-05-09T18:46:12Z,bench-consumer-B,4.44,84.92,76.10,22.30,42.90,0.00
2026-05-09T18:46:12Z,bench-schema-registry,1.78,490.10,0.00,0.00,68.50,0.00
2026-05-09T18:46:12Z,bench-kafka,12.13,889.30,79.20,83.60,18.00,53.80
2026-05-09T18:46:19Z,bench-driver-B,99.31,24.51,7.76,59.90,0.00,0.00
2026-05-09T18:46:19Z,bench-consumer-B,3.97,85.39,79.70,23.40,42.90,0.00
2026-05-09T18:46:19Z,bench-schema-registry,0.27,490.60,0.00,0.00,68.50,0.00
2026-05-09T18:46:19Z,bench-kafka,9.63,890.10,83.50,88.10,18.00,53.90
2026-05-09T18:46:26Z,bench-driver-B,104.57,24.50,8.17,63.00,0.00,0.00
