ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T18:51:03Z,bench-consumer-C,0.00,94.73,38.50,0.00,5.79,1.05
2026-05-09T18:51:10Z,bench-driver-C,96.68,25.84,0.00,0.00,0.00,110.00
2026-05-09T18:51:10Z,bench-sidecar-C,0.88,101.20,0.00,44.80,0.00,0.00
2026-05-09T18:51:10Z,bench-consumer-C,0.00,96.11,45.00,0.00,5.79,1.05
2026-05-09T18:51:17Z,bench-driver-C,97.32,25.95,0.00,0.00,0.00,110.00
2026-05-09T18:51:17Z,bench-sidecar-C,0.97,130.20,0.00,44.80,0.00,0.00
2026-05-09T18:51:17Z,bench-consumer-C,0.00,96.12,45.00,0.00,5.79,1.05
2026-05-09T18:51:24Z,bench-driver-C,96.18,26.04,0.00,0.00,0.00,133.00
2026-05-09T18:51:24Z,bench-sidecar-C,0.91,159.60,0.00,44.80,0.00,0.00
2026-05-09T18:51:24Z,bench-consumer-C,0.11,96.12,45.00,0.00,5.79,1.05
2026-05-09T18:51:31Z,bench-sidecar-C,0.05,89.18,0.00,51.20,0.00,0.00
2026-05-09T18:51:31Z,bench-consumer-C,0.11,98.07,51.40,0.00,5.79,1.05
2026-05-09T18:51:38Z,bench-consumer-C,0.00,76.79,51.80,0.00,5.79,1.05
2026-05-09T18:51:46Z,bench-consumer-C,0.11,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:51:53Z,bench-consumer-C,0.00,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:52:00Z,bench-consumer-C,0.12,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:52:07Z,bench-consumer-C,0.12,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:52:14Z,bench-consumer-C,0.00,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:52:21Z,bench-consumer-C,0.14,76.80,51.80,0.00,5.79,1.05
2026-05-09T18:52:29Z,bench-consumer-C,0.00,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:52:36Z,bench-consumer-C,0.13,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:52:43Z,bench-consumer-C,0.00,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:52:50Z,bench-consumer-C,0.16,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:52:57Z,bench-consumer-C,0.00,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:53:04Z,bench-consumer-C,0.00,76.81,51.90,0.00,5.79,1.05
2026-05-09T18:53:11Z,bench-consumer-C,0.00,76.82,51.90,0.00,5.79,1.05
2026-05-09T18:53:19Z,bench-consumer-C,0.00,76.82,51.90,0.00,5.79,1.05
