ts,name,cpu_pct,mem_mib,net_in_mib,net_out_mib,blk_in_mib,blk_out_mib
2026-05-09T19:14:59Z,bench-driver-D,97.94,27.59,0.00,0.00,2.63,102.00
2026-05-09T19:14:59Z,bench-sidecar-D,0.88,115.20,0.00,25.30,3.88,0.00
2026-05-09T19:14:59Z,bench-consumer-D,0.11,238.30,25.40,0.00,98.80,1.21
2026-05-09T19:15:06Z,bench-driver-D,96.43,27.89,0.00,0.00,2.63,102.00
2026-05-09T19:15:06Z,bench-sidecar-D,0.87,144.50,0.00,25.30,3.88,0.00
2026-05-09T19:15:06Z,bench-consumer-D,0.00,238.30,25.40,0.00,98.80,1.21
2026-05-09T19:15:13Z,bench-driver-D,100.16,28.02,0.00,0.00,2.63,102.00
2026-05-09T19:15:13Z,bench-sidecar-D,0.89,81.49,0.00,30.30,3.88,0.00
2026-05-09T19:15:13Z,bench-consumer-D,5.12,268.40,30.50,0.00,98.80,1.21
2026-05-09T19:15:20Z,bench-driver-D,96.86,28.20,0.00,0.00,2.63,118.00
2026-05-09T19:15:20Z,bench-sidecar-D,1.04,101.50,0.00,30.30,3.88,0.00
2026-05-09T19:15:20Z,bench-consumer-D,0.11,238.10,30.50,0.00,98.80,1.21
2026-05-09T19:15:27Z,bench-driver-D,100.15,28.31,0.00,0.00,2.63,126.00
2026-05-09T19:15:27Z,bench-sidecar-D,1.03,126.60,0.00,30.30,3.88,0.00
2026-05-09T19:15:27Z,bench-consumer-D,0.12,238.10,30.50,0.00,98.80,1.21
2026-05-09T19:15:35Z,bench-driver-D,95.02,28.46,0.00,0.00,2.63,126.00
2026-05-09T19:15:35Z,bench-sidecar-D,0.84,159.90,0.00,30.30,3.88,0.00
2026-05-09T19:15:35Z,bench-consumer-D,0.00,238.10,30.50,0.00,98.80,1.21
2026-05-09T19:15:42Z,bench-sidecar-D,0.79,85.45,0.00,35.40,3.88,0.00
2026-05-09T19:15:42Z,bench-consumer-D,0.11,240.80,35.50,0.00,98.80,1.21
2026-05-09T19:15:49Z,bench-sidecar-D,0.08,85.45,0.00,35.40,3.88,0.00
2026-05-09T19:15:49Z,bench-consumer-D,0.14,240.80,35.50,0.00,98.80,1.21
2026-05-09T19:15:56Z,bench-sidecar-D,0.07,85.45,0.00,35.40,3.88,0.00
2026-05-09T19:15:56Z,bench-consumer-D,0.00,240.80,35.50,0.00,98.80,1.21
2026-05-09T19:16:03Z,bench-sidecar-D,0.11,85.45,0.00,35.40,3.88,0.00
2026-05-09T19:16:03Z,bench-consumer-D,0.15,240.80,35.60,0.00,98.80,1.21
2026-05-09T19:16:10Z,bench-sidecar-D,0.10,85.46,0.00,35.40,3.88,0.00
2026-05-09T19:16:10Z,bench-consumer-D,0.00,240.80,35.60,0.00,98.80,1.21
2026-05-09T19:16:17Z,bench-consumer-D,0.11,211.40,36.60,0.00,98.80,1.21
2026-05-09T19:16:25Z,bench-consumer-D,0.00,211.40,36.60,0.00,98.80,1.21
2026-05-09T19:16:32Z,bench-consumer-D,0.11,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:16:39Z,bench-consumer-D,0.14,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:16:46Z,bench-consumer-D,0.00,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:16:54Z,bench-consumer-D,0.11,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:17:01Z,bench-consumer-D,0.00,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:17:08Z,bench-consumer-D,0.12,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:17:15Z,bench-consumer-D,0.13,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:17:22Z,bench-consumer-D,0.00,211.40,36.70,0.00,98.80,1.21
2026-05-09T19:17:29Z,bench-consumer-D,0.13,211.40,36.70,0.00,98.80,1.21
