second,count,p50_ms,p95_ms,p99_ms,max_ms,bytes_in
56,40000,11632.864,20632.364,21432.364,21632.364,5045339
80,50000,13207.21,24456.711,25456.711,25706.711,5037903
106,50000,14284.501,25534.002,26534.002,26784.002,5033854
130,50000,13362.609,24612.11,25612.11,25862.101,5020392
156,50000,14447.301,25696.802,26696.802,26946.802,5030755
180,50000,13525.633,24775.134,25775.134,26025.134,5036709
214,10000,32661.106,34910.606,35110.606,35160.606,1048770
